ID,Name,Nationality,Date Of Birth,Height,Position,Appearances,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Big Chances Created,Crosses,Cross accuracy %,Through balls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Club
11,Nigel Winterburn,England,11/12/1963,173cm,Defender,352,151,97,,,,,,,,,119,2,0,1,51,1,0,5,19,27,0.08,5,3,67%,0,0,1,1,0,0,9,3,2,0,0,1,0,6,17%,0,0,0,0,0,0,,,,,,,,
12,Andy Linighan,England,18/06/1962,193cm,Defender,117,39,39,,,,,,,,,39,0,0,1,8,0,0,5,4,0,117,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
13,Lee Dixon,England,17/03/1964,173cm,Defender,305,152,65,,,,,,,,,114,2,0,1,30,1,0,9,19,43,0.14,3,2,50%,0,0,0,1,1,0,15,3,3,0,0,2,0,5,20%,0,0,0,0,0,0,,,,,,,,
14,Martin Keown,England,24/07/1966,185cm,Defender,323,161,68,,,,,,,,,108,4,0,2,49,6,1,4,7,11,0.03,0,0,0%,0,0,1,5,3,0,0,2,3,0,1,1,0,0,0%,0,0,0,0,0,0,,,,,,,,
15,Jimmy Carter,England,09/11/1965,178cm,Midfielder,19,4,9,,,,,,,,,,,0,,1,0,0,2,0,0,19,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.11,0,0,0,0,0%,0,
16,Mark Flatts,England,14/10/1972,168cm,Midfielder,16,2,7,,,,,,,,,,,0,,0,0,0,0,1,0,16,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,16,0,0,0,0,0%,0,
17,John Jensen,Denmark,03/05/1965,178cm,Midfielder,98,36,29,,,,,,,,,,,0,,12,0,0,1,5,0,98,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.01,0,0,0,0,0%,0,
18,David Hillier,England,19/12/1969,178cm,Midfielder,61,29,17,,,,,,,,,,,0,,2,0,0,1,6,0,61,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.02,0,0,0,0,0%,0,
19,Ray Parlour,England,07/03/1973,178cm,Midfielder,379,191,79,,,,,,,,,,,0,,62,3,2,20,20,82,0.22,5,10,70%,,1,3,0,0,,19,22,12,2,3,4,0,10,10%,0,1,0,0,0,0,0.05,0,0,3,2,67%,0,
20,Ian Selley,England,14/06/1974,175cm,Midfielder,41,12,16,,,,,,,,,,,0,,8,0,0,0,3,0,41,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,41,0,0,0,0,0%,0,
21,Paul Davis,England,09/12/1961,178cm,Midfielder,32,12,7,,,,,,,,,,,0,,3,0,0,1,1,0,32,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.03,0,0,0,0,0%,0,
22,Anders Limpar,Sweden,24/09/1965,172cm,Midfielder,99,33,34,,,,,,,,,,,0,,15,0,0,7,15,0,99,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.07,0,0,0,0,0%,0,
23,Paul Merson,England,20/03/1968,183cm,Midfielder,280,109,80,,,,,,,,,,,0,,15,0,0,46,43,0,280,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.16,0,0,0,0,0%,0,
24,Paul Shaw,England,04/09/1973,180cm,Midfielder,12,5,3,,,,,,,,,,,0,,0,0,0,2,2,0,12,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.17,0,0,0,0,0%,0,
25,Kevin Campbell,England,04/02/1970,183cm,Forward,325,109,123,,,,,,,,,,,,,16,0,0,83,36,0,325,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.26,0,0,0,0,0%,0,
26,Alan Smith,England,21/11/1962,191cm,Forward,75,26,23,,,,,,,,,,,,,0,0,0,8,9,0,75,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.11,0,0,0,0,0%,0,
27,Paul Dickov,Scotland,01/11/1972,168cm,Forward,155,41,68,,,,,,,,,,,,,38,2,28,36,12,211,1.36,,11,,,3,3,0,0,,,,,,,,0,19,,,12,0,0,0,0,0.23,0,0,15,5,33%,0,
28,Neil Heaney,England,11/08/1972,175cm,Forward,67,15,26,,,,,,,,,,,,,8,0,0,5,2,0,67,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.07,0,0,0,0,0%,0,
29,Ian Wright,England,03/11/1963,180cm,Forward,213,90,61,,,,,,,,,,,,,52,2,3,113,22,29,0.14,,0,,,1,0,0,0,,,,,,,,2,0,,,0,0,0,0,0,0.53,0,0,4,1,25%,0,
32,Mark Bosnich,Australia,13/01/1972,185cm,Goalkeeper,206,93,61,0,0,0,0,0,0,0,0,74,0,0,1,8,1,0,0,1,0,206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Nigel Spink,England,08/08/1958,188cm,Goalkeeper,55,22,16,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Michael Oakes,England,30/10/1973,188cm,Goalkeeper,72,23,31,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ugo Ehiogu,England,03/11/1972,188cm,Defender,355,138,122,,,,,,,,,110,0,0,2,45,5,0,19,8,0,355,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
36,Dariusz Kubicki,Poland,06/06/1963,177cm,Defender,31,8,13,,,,,,,,,8,0,0,0,3,0,0,0,0,0,31,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
37,Paul McGrath,Ireland,04/12/1959,185cm,Defender,166,63,55,,,,,,,,,40,0,0,2,13,0,0,6,3,0,166,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
38,Earl Barrett,England,28/04/1967,180cm,Defender,195,67,73,,,,,,,,,59,0,0,0,17,1,0,1,6,0,195,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
39,Shaun Teale,England,10/03/1964,183cm,Defender,105,40,32,,,,,,,,,35,0,0,1,15,0,0,2,3,0,105,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
40,Neil Cox,England,08/10/1971,183cm,Defender,143,45,65,,,,,,,,,25,0,0,2,20,1,0,6,6,0,143,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
41,Steve Staunton,Ireland,19/01/1969,183cm,Defender,288,119,94,,,,,,,,,67,0,0,1,32,3,0,13,28,0,288,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
42,Bryan Small,England,15/11/1971,175cm,Defender,29,10,11,,,,,,,,,5,0,0,0,0,0,0,0,1,0,29,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
43,Kevin Richardson,England,04/12/1962,173cm,Midfielder,207,71,70,,,,,,,,,,,0,,23,1,0,7,19,0,207,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.03,0,0,0,0,0%,0,
44,Mark Blake,England,16/12/1970,183cm,Midfielder,31,6,20,,,,,,,,,,,0,,8,0,0,3,1,0,31,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.1,0,0,0,0,0%,0,
45,Gareth Farrelly,Ireland,28/08/1975,185cm,Midfielder,61,13,26,,,,,,,,,,,0,,6,0,0,2,0,0,61,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.03,0,0,0,0,0%,0,
46,Stephen Froggatt,England,09/03/1973,178cm,Midfielder,75,26,29,,,,,,,,,,,0,,9,0,0,4,13,0,75,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.05,0,0,0,0,0%,0,
47,Ray Houghton,Ireland,06/01/1962,170cm,Midfielder,105,38,35,,,,,,,,,,,0,,3,0,0,8,12,0,105,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.08,0,0,0,0,0%,0,
48,Garry Parker,England,07/09/1965,180cm,Midfielder,144,42,57,,,,,,,,,,,0,,3,0,0,19,16,0,144,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.13,0,0,0,0,0%,0,
49,David Farrell,England,11/11/1971,180cm,Midfielder,6,2,3,,,,,,,,,,,0,,0,0,0,0,0,0,6,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,6,0,0,0,0,0%,0,
50,Stefan Beinlich,Germany,13/01/1972,180cm,Midfielder,14,6,6,,,,,,,,,,,0,,0,0,0,1,1,0,14,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.07,0,0,0,0,0%,0,
51,Matthias Breitkreutz,Germany,12/05/1971,178cm,Midfielder,5,1,3,,,,,,,,,,,0,,0,0,0,0,0,0,5,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,5,0,0,0,0,0%,0,
52,Tony Daley,England,18/10/1967,173cm,Midfielder,40,16,13,,,,,,,,,,,0,,0,0,0,3,3,0,40,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.08,0,0,0,0,0%,0,
53,Chris Boden,England,13/10/1973,175cm,Midfielder,1,0,0,,,,,,,,,,,0,,0,0,0,0,0,0,1,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0%,0,
54,Neil Davis,England,15/08/1973,173cm,Forward,2,0,1,,,,,,,,,,,,,0,0,0,0,0,0,2,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,2,0,0,0,0,0%,0,
55,Martin Carruthers,England,07/08/1972,180cm,Forward,1,0,1,,,,,,,,,,,,,0,0,0,0,0,0,1,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,1,0,0,0,0,0%,0,
56,Henrik Larsen,Denmark,17/05/1966,188cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
57,Graham Fenton,England,22/05/1974,178cm,Forward,93,25,42,,,,,,,,,,,,,12,0,0,13,7,0,93,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.14,0,0,0,0,0%,0,
58,Frank McAvennie,Scotland,22/11/1959,175cm,Midfielder,10,1,3,,,,,,,,,,,0,,1,0,0,0,1,0,10,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,10,0,0,0,0,0%,0,
59,Dwight Yorke,Trinidad & Tobago,03/11/1971,178cm,Midfielder,375,169,116,,,,,,,,,,,0,,24,1,35,123,50,844,2.25,95,53,70%,,2,61,50,12,,182,81,85,7,6,4,0,11,45%,2,0,0,1,0,0,0.33,0,0,6,1,17%,0,
60,Dean Saunders,Wales,21/06/1964,173cm,Forward,196,60,76,,,,,,,,,,,,,5,0,0,45,14,0,196,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.23,0,0,0,0,0%,0,
61,Cyrille Regis,England,09/02/1958,184cm,Forward,13,4,5,,,,,,,,,,,,,0,0,0,1,3,0,13,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.08,0,0,0,0,0%,0,
62,Dalian Atkinson,England,21/03/1968,183cm,Forward,73,27,22,,,,,,,,,,,,,3,0,0,22,11,0,73,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.3,0,0,0,0,0%,0,
64,Bobby Mimms,England,12/10/1963,188cm,Goalkeeper,61,29,14,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Matt Dickins,England,03/09/1970,,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Frank Talia,Australia,20/07/1972,185cm,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,David May,England,24/06/1970,183cm,Defender,158,86,29,,,,,,,,,63,0,0,1,18,0,0,8,3,0,158,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
68,Nicky Marker,England,03/05/1965,185cm,Defender,53,25,17,,,,,,,,,14,0,0,1,3,0,0,1,1,0,53,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
69,Tony Dobson,England,05/02/1969,185cm,Defender,18,8,3,,,,,,,,,8,0,0,0,2,1,0,0,1,0,18,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
70,Graeme Le Saux,England,17/10/1968,178cm,Defender,327,157,87,,,,,,,,,92,0,0,0,52,2,0,12,44,0,327,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
71,Kevin Moran,Ireland,29/04/1956,180cm,Defender,55,29,12,,,,,,,,,20,0,0,0,4,0,0,5,0,0,55,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
72,Alan Wright,England,28/09/1971,163cm,Defender,305,128,96,,,,,,,,,101,3,0,0,21,0,2,5,24,42,0.14,3,1,1%,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
73,Patrik Andersson,Sweden,18/08/1971,185cm,Defender,12,1,6,,,,,,,,,2,0,0,0,2,0,0,0,0,0,12,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
74,Henning Berg,Norway,01/09/1969,183cm,Defender,275,144,65,,,,,,,,,87,3,0,5,19,2,0,8,11,46,0.17,1,4,75%,0,0,0,4,4,0,13,10,5,0,5,5,0,0,0%,0,0,0,0,0,0,,,,,,,,
75,Colin Hendry,Scotland,07/12/1965,185cm,Defender,218,101,62,,,,,,,,,75,0,0,4,34,0,0,8,4,0,218,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
76,Richard Brown,England,13/01/1967,178cm,Midfielder,2,2,0,,,,,,,,,,,0,,0,0,0,0,0,0,2,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,2,0,0,0,0,0%,0,
77,Simon Ireland,England,23/11/1971,180cm,Midfielder,1,0,1,,,,,,,,,,,0,,0,0,0,0,0,0,1,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0%,0,
78,Tim Sherwood,England,06/02/1969,183cm,Midfielder,341,139,117,,,,,,,,,,,0,,64,4,0,37,28,0,341,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.11,0,0,0,0,0%,0,
79,Stuart Ripley,England,20/11/1967,180cm,Midfielder,240,111,78,,,,,,,,,,,0,,7,0,0,14,45,0,240,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.06,0,0,0,0,0%,0,
80,Jason Wilcox,England,15/07/1971,180cm,Midfielder,273,114,86,,,,,,,,,,,0,,27,5,0,31,45,0,273,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.11,0,0,0,0,0%,0,
81,Chris Price,England,30/03/1960,175cm,Midfielder,6,3,2,,,,,,,,,,,0,,0,0,0,0,0,0,6,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,6,0,0,0,0,0%,0,
82,Wayne Burnett,England,04/09/1971,183cm,Midfielder,1,0,1,,,,,,,,,,,0,,0,0,0,0,0,0,1,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,1,0,0,0,0,0%,0,
83,Mark Atkins,England,14/09/1968,185cm,Midfielder,84,46,21,,,,,,,,,,,0,,3,1,0,12,5,0,84,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.14,0,0,0,0,0%,0,
84,Gordon Cowans,England,27/10/1958,170cm,Midfielder,35,17,9,,,,,,,,,,,0,,1,0,0,1,4,0,35,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.03,0,0,0,0,0%,0,
85,Lee Makel,England,11/01/1973,180cm,Midfielder,6,1,2,,,,,,,,,,,0,,0,0,0,0,0,0,6,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,6,0,0,0,0,0%,0,
86,Mike Newell,England,27/01/1965,185cm,Forward,117,56,36,,,,,,,,,,,,,14,1,0,22,21,0,117,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.19,0,0,0,0,0%,0,
87,Kevin Gallacher,Scotland,23/11/1966,175cm,Forward,198,83,55,,,,,,,,,,,,,12,0,0,56,20,0,198,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.28,0,0,0,0,0%,0,
88,Peter Thorne,England,21/06/1973,183cm,Forward,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0%,0,
89,Alan Shearer,England,13/08/1970,183cm,Forward,441,203,129,,,,,,,,,,,,,41,2,0,260,64,0,441,,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.59,0,0,0,0,0%,0,
91,Dave Beasant,England,20/03/1959,193cm,Goalkeeper,131,32,64,0,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Kevin Hitchcock,England,05/10/1962,185cm,Goalkeeper,61,20,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Dmitri Kharin,Russia,16/08/1968,188cm,Goalkeeper,118,44,40,0,0,0,0,0,0,0,0,37,0,0,0,4,0,0,0,0,0,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Nick Colgan,Ireland,19/09/1973,187cm,Goalkeeper,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Nigel Spackman,England,02/12/1960,185cm,Midfielder,67,20,20,,,,,,,,,,,0,,0,1,0,0,1,0,67,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,67,0,0,0,0,0%,0,
96,Ian Pearce,England,07/05/1974,191cm,Defender,238,93,85,,,,,,,,,56,32,0,2,20,4,23,11,5,384,1.61,22,19,68%,0,0,9,176,0,0,1,49,36,0,13,6,0,1,1%,0,0,0,1,0,0,,,,,,,,
97,Paul Elliott,England,18/03/1964,191cm,Defender,7,2,2,,,,,,,,,2,0,0,0,1,0,0,0,1,0,7,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
98,Darren Barnard,Wales,30/11/1971,178cm,Defender,60,17,31,,,,,,,,,9,0,0,0,7,1,0,4,8,0,60,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
99,Gareth Hall,Wales,20/03/1969,173cm,Defender,87,27,35,,,,,,,,,18,0,0,0,8,0,0,3,0,0,87,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
100,Mal Donaghy,Northern Ireland,13/09/1957,179cm,Defender,68,18,26,,,,,,,,,15,0,0,0,2,0,0,3,1,0,68,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
101,Erland Johnsen,Norway,05/04/1967,185cm,Defender,114,42,38,,,,,,,,,33,0,0,1,22,1,0,1,3,0,114,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
102,Andy Myers,England,03/11/1973,173cm,Defender,103,29,44,,,,,,,,,21,0,0,1,9,1,0,2,1,0,103,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
103,Frank Sinclair,Jamaica,03/12/1971,175cm,Defender,288,95,118,,,,,,,,,70,0,0,6,68,5,0,8,6,0,288,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
104,Anthony Barness,England,25/02/1973,178cm,Defender,90,26,37,,,,,,,,,12,0,0,0,4,0,0,0,0,0,90,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
105,Steve Clarke,Scotland,29/08/1963,178cm,Defender,167,64,57,,,,,,,,,42,0,0,3,18,1,0,1,7,0,167,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
106,David Lee,England,26/11/1969,191cm,Defender,79,27,28,,,,,,,,,19,0,0,0,6,1,0,5,1,0,79,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,,
107,Dennis Wise,England,16/12/1966,168cm,Midfielder,278,110,84,,,,,,,,,,,0,,70,5,0,34,39,0,278,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.12,0,0,0,0,0%,0,
108,David Hopkin,Scotland,21/08/1970,183cm,Midfielder,124,48,43,,,,,,,,,,,0,,16,0,0,7,9,0,124,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.06,0,0,0,0,0%,0,
109,Craig Burley,Scotland,24/09/1971,185cm,Midfielder,157,49,55,,,,,,,,,,,0,,25,0,0,14,12,0,157,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.09,0,0,0,0,0%,0,
110,Eddie Newton,England,13/12/1971,180cm,Midfielder,164,65,59,,,,,,,,,,,0,,8,0,0,7,8,0,164,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.04,0,0,0,0,0%,0,
111,Graham Stuart,England,24/10/1970,175cm,Midfielder,294,86,122,,,,,,,,,,,0,,30,1,0,45,34,0,294,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.15,0,0,0,0,0%,0,
112,Andy Townsend,Ireland,23/07/1963,180cm,Midfielder,215,80,72,,,,,,,,,,,0,,40,3,0,13,30,0,215,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.06,0,0,0,0,0%,0,
